name,total_run,run_90,generation_90,role,offtheball,workrate,fmrole
Simon Lundevall,7.9679466825268594,0.6942063905396102,0.3372296232265637,Midfielder,12,10,AM
Maic Sema,4.602683096788988,0.6638485235753349,0.3395097343060919,Midfielder,12,8,AM
Moustafa Zeidan,11.224399396805914,0.6454926170687108,0.2993408455346915,Midfielder,11,11,M
Hampus Finndell,15.574702794010744,0.6394722862504412,0.3662656419250727,Midfielder,13,13,M
Dennis Collander,10.145762278637962,0.6301715701017367,0.2798338446552207,Midfielder,12,16,M
Axel Lindahl,5.038038149408347,0.6288813223949393,0.2619285287650301,Midfielder,12,10,M
Abdul Rahman Khalili,5.851243947948239,0.6276662161088695,0.2666183160337355,Midfielder,11,13,M
Patrik Wålemark,13.5635998175868,0.6196568444582802,0.2541381987542953,Midfielder,12,10,AM
Johan Karlsson,4.161091425664431,0.6139315218193422,0.2861151884741917,Midfielder,11,10,M
Ísak Bergmann Jóhannesson,8.878609023643316,0.612317863699539,0.3141350843331636,Midfielder,12,13,M
Samuel Kroon,11.916966213872096,0.605947434603666,0.2096802207822789,Midfielder,13,13,AM
Emil Tot Wikström,8.299082252223554,0.5984915085738141,0.2714219625350701,Midfielder,11,14,M
Christopher Telo,4.350764233407168,0.5691406700677981,0.1452124046795442,Midfielder,12,11,M
Ishaq Abdulrazak,15.73021812050624,0.5571505827806225,0.1738113833580708,Midfielder,11,11,M
Filip Rogić,4.710803095163909,0.5463560290782884,0.2560596423811795,Midfielder,12,14,M
Kristoffer Khazeni,5.4459456200666425,0.5458074674899753,0.3226925556768205,Midfielder,12,12,M
Simon Kroon,3.618853432621698,0.5374534800923314,0.1799500392232469,Midfielder,14,10,AM
Magnus Eriksson,14.705073249019822,0.5070714913455111,0.1967168468131544,Midfielder,13,16,M
Darijan Bojanić,10.923963878313735,0.5018666406575989,0.1514090439130348,Midfielder,9,11,M
Robert Gojani,6.703257418756838,0.4957215839672271,0.2854079852284811,Midfielder,11,14,M
David Seger,9.98901919945536,0.4846424409439258,0.2465335193415663,Midfielder,12,12,M
Jacob Ortmark,11.82716601339151,0.4814314523768593,0.2356113358591743,Midfielder,12,14,M
Blair Turgott,11.338709893959289,0.475085610082093,0.2698483876933613,Midfielder,11,9,AM
Jerell Sellars,3.088402301588264,0.4624895293559796,0.2216756379054042,Midfielder,9,9,AM
Erdal Rakip,7.614324614334108,0.4461518328711392,0.1983288561876913,Midfielder,11,13,M
Kevin Walker,7.35777362119809,0.4444292791327706,0.2084819852784393,Midfielder,13,13,M
Romain Gall,2.796539707445832,0.417393986185945,0.1002531210972345,Midfielder,9,9,AM
Oscar Lewicki,2.698966481742426,0.4001762493522542,0.1841113086975684,Midfielder,14,14,M
Alexander Fransson,11.221476310033797,0.3929699875109111,0.1610287826746096,Midfielder,12,14,M
Andreas Blomqvist,4.638092019457217,0.389755631887161,0.2434680076062977,Midfielder,11,12,M
David Löfquist,6.902957474468713,0.3875646741747874,0.1427287401391206,Midfielder,11,13,M
Elias Andersson,5.470411249968196,0.3840382312770184,0.1454973974601313,Midfielder,12,13,M
Adam Hellborg,6.702205388756444,0.3829831650717968,0.2286670410419797,Midfielder,11,13,M
Simon Thern,4.816319864489322,0.3819108262590652,0.2393559830530632,Midfielder,12,12,M
Christos Gravius,9.231890688169262,0.3816583196762671,0.131544015552054,Midfielder,12,12,M
Romário Pereira Sipião,10.835545536789002,0.3798983631908882,0.1532218821086741,Midfielder,10,10,AM
Jeppe Andersen,7.652212226650016,0.3716670806252032,0.1785957294705763,Midfielder,10,15,M
Robin Tranberg,5.74543345448658,0.3608436921868752,0.1470468795512676,Midfielder,12,13,M
Carl Gustafsson,9.674277836703745,0.3468864562961501,0.1270423787391969,Midfielder,12,12,M
Rasmus Schüller,7.786414570413949,0.3310237653931296,0.1286010515382139,Midfielder,13,15,M
Sebastian Larsson,7.683387423117112,0.325874113138803,0.1335260177318412,Midfielder,11,15,M
Alexander Faltsetas,5.234848019450425,0.3251458397174177,0.137457638595437,Midfielder,11,15,M
Albin Winbo,3.0980431803783355,0.3020843837855365,0.1082718355322857,Midfielder,11,13,M
Henrik Bellman,4.79918456436164,0.2972653893961098,0.1196559101861986,Midfielder,10,9,M
Gustav Berggren,7.804849893614862,0.2957627328106684,0.1416048130513416,Midfielder,11,15,M
André Rømer,7.205689575907631,0.2869522397485339,0.0835698663612153,Midfielder,12,14,M
Adam Carlén,6.905466058269592,0.2812180747711598,0.0816887909307105,Midfielder,9,15,M
Joel Allansson,7.871451709034534,0.2741604697419149,0.0915812830798396,Midfielder,13,11,M
Viktor Gustafson,4.867277938793186,0.2727615283258946,0.1247781553919665,Midfielder,10,15,M
Ludvig Fritzson,5.586882408141333,0.2670310232250238,0.165265494413185,Midfielder,12,11,M
Bilal Hussein,7.282428559678507,0.256523902297873,0.0660048988337095,Midfielder,13,12,M
August Erlingmark,5.331976760626642,0.2495464942570971,0.0837264766691624,Midfielder,9,14,M
Erik Friberg,2.674594727972553,0.2301276534584414,0.0874547907704896,Midfielder,12,15,M
Jesper Gustavsson,5.594325708257481,0.2262873320194037,0.0944764956184112,Midfielder,11,15,M
Amir Al-Ammari,6.543527268318552,0.2256388713213293,0.0454645986404235,Midfielder,12,12,M
Sebastian Eriksson,2.5039353981880708,0.2127990423389295,0.1093716894953382,Midfielder,12,15,M
Luke Le Roux,3.9209202195343256,0.1997073116910522,0.0483644385573115,Midfielder,11,13,M
Frank Arhin,2.341449240976033,0.1947601032235147,0.0781571291573906,Midfielder,11,8,AM
Gustav Svensson,3.4317271297518817,0.1856102413928301,0.0644192192315256,Midfielder,7,14,M
Johan Mårtensson,3.2028227697805067,0.1604978002673973,0.0541594266382189,Midfielder,10,13,M
Nikolaos Dosis,2.4804457727971023,0.1453386194998302,0.0402370573845008,Midfielder,11,11,M
Albert Ejupi,2.739416139622504,0.1431750595621517,0.0508363801156159,Midfielder,8,13,M
Jamie Roche,1.57325538018289,0.1165374355691029,0.0350243798154469,Midfielder,11,11,M
Enoch Kofi Adu,0.7874177264833057,0.0724617539708563,0.0093763746639381,Midfielder,11,9,AM
